accession	date	latitude	longitude	host_type	region	division	location	state	host	clade
PV806624	2024-08-29	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex tarsalis	SW03
PV806625	2024-08-15	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex tarsalis	SW03
PV806626	2024-08-01	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex pipiens	SW03
PV806627	2024-07-18	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex tarsalis	SW03
PV806628	2024-07-11	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex tarsalis	SW03
PV806629	2023-07-13	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex pipiens	SW03
PV806630	2023-08-03	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex tarsalis	SW03
PV806631	2023-08-17	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex pipiens	SW03
PV806632	2023-08-17	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex tarsalis	SW03
PV806633	2023-08-31	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex tarsalis	SW03
PV806634	2024-08-29	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex pipiens	SW03
OQ721124	2016-01-01	47.2043509951366	-119.453474994322	Mosquito	North America	Washington	Grant	WA		SW03
OQ721125	2015-01-01	47.2043509951366	-119.453474994322	Mosquito	North America	Washington	Grant	WA		SW03
OQ721199	2017-01-01	47.2043509951366	-119.453474994322	Mosquito	North America	Washington	Grant	WA		SW03
OQ721212	2018-08-08	47.6200687072449	-117.404376706467	Mosquito	North America	Washington	Spokane	WA	Culex pipiens	SW03
OQ721245	2017-01-01	47.5761253548262	-118.418474027773	Mosquito	North America	Washington	Lincoln	WA	Phasianinae	SW03
OQ721279	2018-08-14	47.0240526922924	-122.103125695884	Mosquito	North America	Washington	Pierce	WA	Culex tarsalis	SW03
OQ721297	2016-01-01	47.6200687072449	-117.404376706467	Mosquito	North America	Washington	Spokane	WA	Corvus	SW03
OQ721344	2018-08-25	47.6200687072449	-117.404376706467	Mosquito	North America	Washington	Spokane	WA	Culex pipiens	SW03
OQ721349	2015-01-01	47.2043509951366	-119.453474994322	Mosquito	North America	Washington	Grant	WA		SW03
OQ721436	2015-01-01	47.2043509951366	-119.453474994322	Mosquito	North America	Washington	Grant	WA	Corvidae	SW03
OQ721460	2018-08-14	47.0240526922924	-122.103125695884	Mosquito	North America	Washington	Pierce	WA	Culex pipiens	SW03
OQ721485	2018-08-14	47.0240526922924	-122.103125695884	Mosquito	North America	Washington	Pierce	WA	Culex pipiens	SW03
OQ721496	2017-01-01	46.2295806892836	-118.478546263663	Mosquito	North America	Washington	Walla Walla	WA	Galliformes	SW03
OQ721526	2015-01-01	46.5346913944399	-118.899358594516	Mosquito	North America	Washington	Franklin	WA		SW03
OQ721680	2016-01-01	47.6200687072449	-117.404376706467	Mosquito	North America	Washington	Spokane	WA		SW03
OQ721750	2018-08-02	47.6200687072449	-117.404376706467	Mosquito	North America	Washington	Spokane	WA	Culex pipiens	SW03
OQ721803	2015-01-01	47.1244085234726	-120.678122583823	Mosquito	North America	Washington	Kittitas	WA	Corvidae	SW03
OQ721837	2018-08-14	47.0240526922924	-122.103125695884	Mosquito	North America	Washington	Pierce	WA	Culex pipiens	SW03
OQ721839	2016-01-01	47.2043509951366	-119.453474994322	Mosquito	North America	Washington	Grant	WA		SW03
KM0802-2	2022-08-03	46.2391981389927	-119.510865160184	Mosquito	North America	Washington	Benton	WA	Culex pipiens	SW03
KM0816	2022-08-17	46.2391981389927	-119.510865160184	Mosquito	North America	Washington	Benton	WA	Culex pipiens	SW03
KM0822	2022-08-23	46.2391981389927	-119.510865160184	Mosquito	North America	Washington	Benton	WA	Culex pipiens	SW03
WA1061954-VSP002-M8782-250825_T1	2025-07-10	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex pipiens	SW03
WA1063611-VSP002-M8782-250825_T1	2025-07-17	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex tarsalis	SW03
WA1064556-VSP002-M8782-250825_T1	2025-07-24	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex tarsalis	SW03
WA1064557-VSP002-M8782-250825_T1	2025-07-24	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex tarsalis	SW03
WA1065780-VSP002-M8782-250825_T1	2025-07-31	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex tarsalis	SW03
WA1065407-VSP002-M8782-250825_T1	2025-07-31	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex tarsalis	SW03
WA1067632-VSP003-M5916-250905_T1	2025-08-13	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex pipiens	SW03
WA1068083-VSP003-M5916-250905_T1	2025-08-13	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex tarsalis	SW03
WA1007744	2024-07-18	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex tarsalis	SW03
WA1004848	2024-07-02	46.4568072571228	-120.737524285548	Mosquito	North America	Washington	Yakima	WA	Culex tarsalis	SW03
